epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9760.35,0.72596,0.71203,1.00652,0.93835,0.90406,0.97265,0.81057,0.66319,0.5955,0.94182,0.000848969,0.000848969,0.000848969
43,10014.8,0.74439,0.72244,1.02206,0.95291,0.95613,0.98191,0.83093,0.69391,0.53589,0.95242,0.000834822,0.000834822,0.000834822
44,10267.1,0.75662,0.72229,1.03553,0.95092,0.94971,0.9847,0.86088,0.63215,0.53588,0.9307,0.000820675,0.000820675,0.000820675
45,10509.9,0.7015,0.6718,0.99409,0.97182,0.93834,0.98518,0.83385,0.66304,0.53017,0.9289,0.000806528,0.000806528,0.000806528
46,10726.2,0.77331,0.71402,1.03264,0.96792,0.95302,0.98573,0.83732,0.64226,0.52464,0.9344,0.00079238,0.00079238,0.00079238
47,10935.4,0.72572,0.67173,1.00563,0.93201,0.94756,0.98252,0.82845,0.64475,0.57349,0.93439,0.000778233,0.000778233,0.000778233
48,11145.7,0.74413,0.6918,1.02054,0.96154,0.95162,0.9865,0.83943,0.63754,0.56457,0.94369,0.000764086,0.000764086,0.000764086
49,11355.4,0.72132,0.68169,1.01268,0.9768,0.96828,0.99174,0.8543,0.62877,0.48336,0.94099,0.000749939,0.000749939,0.000749939
50,11565,0.67892,0.64489,0.99197,0.92972,0.96481,0.9847,0.84919,0.61887,0.51113,0.93336,0.000735792,0.000735792,0.000735792
51,11774.3,0.71257,0.67657,1.00811,0.95956,0.92551,0.98888,0.85594,0.61942,0.54303,0.93296,0.000721645,0.000721645,0.000721645
52,12015.6,0.70035,0.67674,1.00463,0.93864,0.97444,0.98923,0.8557,0.62721,0.48195,0.92618,0.000707498,0.000707498,0.000707498
53,12233.8,0.70794,0.66077,1.00026,0.97303,0.94455,0.98997,0.86207,0.64491,0.48221,0.91954,0.000693351,0.000693351,0.000693351
54,12456.8,0.73,0.66401,1.00245,0.94207,0.97041,0.99121,0.84822,0.6202,0.48688,0.93658,0.000679204,0.000679204,0.000679204
55,12705.4,0.66765,0.61196,0.98028,0.97315,0.98431,0.9939,0.86703,0.61159,0.44911,0.92753,0.000665057,0.000665057,0.000665057
56,12944.8,0.67513,0.61429,0.99594,0.97697,0.98096,0.98898,0.85171,0.61494,0.45543,0.91895,0.000650909,0.000650909,0.000650909
57,13170.5,0.68353,0.62632,0.99431,0.96042,1,0.99093,0.85774,0.59749,0.44087,0.91324,0.000636762,0.000636762,0.000636762
58,13396.2,0.67057,0.6099,0.98701,0.98183,0.99106,0.99381,0.85865,0.61043,0.43176,0.91538,0.000622615,0.000622615,0.000622615
59,13604,0.64792,0.58627,0.96659,0.98952,0.98599,0.99433,0.87539,0.56342,0.43051,0.91062,0.000608468,0.000608468,0.000608468
60,13817.2,0.6417,0.57776,0.97548,0.97375,0.98102,0.99398,0.87107,0.61346,0.44223,0.91916,0.000594321,0.000594321,0.000594321
61,14025.3,0.67153,0.58779,0.98401,0.98319,0.99425,0.99433,0.88613,0.56838,0.46467,0.89833,0.000580174,0.000580174,0.000580174
62,14246.1,0.66243,0.58501,0.98287,0.98165,0.99854,0.995,0.8896,0.57122,0.42243,0.90656,0.000566027,0.000566027,0.000566027
63,14460.3,0.65587,0.59215,0.98329,0.98834,0.98636,0.99464,0.88864,0.55858,0.39517,0.90178,0.00055188,0.00055188,0.00055188
64,14668.7,0.65459,0.5475,0.97361,0.99125,0.98454,0.99464,0.87379,0.59,0.399,0.90695,0.000537733,0.000537733,0.000537733
65,14879.6,0.64281,0.54318,0.97111,0.99106,0.98468,0.99464,0.87666,0.56664,0.39071,0.89844,0.000523586,0.000523586,0.000523586
66,15092.4,0.61556,0.52571,0.95748,0.98463,0.98797,0.99477,0.88836,0.54933,0.39306,0.89057,0.000509438,0.000509438,0.000509438
